,,,t,theta (rad),θ,frame
,,,0.00E+00,0.2069934313,1.19E+01,8.30E+03
,,,6.68E+00,0.1762463149,1.01E+01,9.10E+03
,,,1.43E+01,0.1438629349,8.24E+00,1.00E+04
,,,2.19E+01,0.1170198932,6.70E+00,1.09E+04
,,,2.95E+01,0.09456190397,5.42E+00,1.18E+04
,,,3.71E+01,0.07587845103,4.35E+00,1.28E+04
,,,4.47E+01,0.06205743303,3.56E+00,1.37E+04
,,,5.32E+01,0.04845054947,2.78E+00,1.47E+04
,,,6.45E+01,0.03637522725,2.08E+00,1.60E+04
