,,,t,theta (rad),θ,frame
,,,0.00E+00,0.2163764959,-1.24E+01,9.89E+03
,,,1.56E+01,0.1750525097,-1.00E+01,1.18E+04
,,,3.25E+01,0.1408078059,-8.07E+00,1.38E+04
,,,4.93E+01,0.1128346635,-6.46E+00,1.58E+04
,,,6.61E+01,0.09141797257,-5.24E+00,1.78E+04
,,,8.30E+01,0.07392191949,-4.24E+00,1.98E+04
,,,9.98E+01,0.06157149846,-3.53E+00,2.19E+04
,,,1.17E+02,0.05030805104,-2.88E+00,2.39E+04
,,,1.32E+02,0.04215610679,-2.42E+00,2.57E+04
