,,,t,theta (rad),θ,frame
,,,0.00E+00,0.2246341722,1.29E+01,1.17E+04
,,,7.96E+00,0.1798048667,1.03E+01,1.27E+04
,,,1.59E+01,0.1425007229,8.16E+00,1.36E+04
,,,2.38E+01,0.1099308545,6.30E+00,1.46E+04
,,,3.09E+01,0.08692525073,4.98E+00,1.54E+04
,,,4.14E+01,0.05897170837,3.38E+00,1.67E+04
,,,4.23E+01,0.05606866731,3.21E+00,1.68E+04
,,,4.31E+01,0.05386744061,3.09E+00,1.69E+04
,,,5.01E+01,0.04130668995,2.37E+00,1.77E+04
