,,,t,theta (rad),θ,frame
,,,0.00E+00,0.227575052,1.30E+01,1.08E+04
,,,1.01E+01,0.1979899758,1.13E+01,1.20E+04
,,,2.13E+01,0.1664324856,9.54E+00,1.33E+04
,,,3.26E+01,0.1414726542,8.11E+00,1.47E+04
,,,4.39E+01,0.1210190708,6.93E+00,1.60E+04
,,,5.51E+01,0.1031150296,5.91E+00,1.74E+04
,,,6.51E+01,0.08901669623,5.10E+00,1.86E+04
,,,7.76E+01,0.07443860676,4.27E+00,2.01E+04
,,,9.39E+01,0.05871160195,3.36E+00,2.20E+04
