t,theta (rad),,t,theta (rad),θ,frame
,,,0.00E+00,0.2212578327,-1.27E+01,1.26E+04
,,,4.60E+00,0.20604851,-1.18E+01,1.32E+04
,,,1.72E+01,0.1693859667,-9.71E+00,1.47E+04
,,,3.33E+01,0.1325362019,-7.59E+00,1.66E+04
,,,4.93E+01,0.1026281351,-5.88E+00,1.86E+04
,,,5.96E+01,0.08767026198,-5.02E+00,1.98E+04
,,,7.57E+01,0.06837795093,-3.92E+00,2.17E+04
,,,8.71E+01,0.05755382033,-3.30E+00,2.31E+04
,,,8.82E+01,0.0566068745,-3.24E+00,2.32E+04
,,,1.05E+02,0.04422344929,-2.53E+00,2.53E+04
,,,1.22E+02,0.03450819618,-1.98E+00,2.73E+04
