t,theta (rad),,t,theta (rad),θ,frame
,,,0.00E+00,0.2263611755,1.30E+01,7.79E+03
,,,5.88E+00,0.1884308075,1.08E+01,8.49E+03
,,,1.34E+01,0.1446580371,8.29E+00,9.40E+03
,,,1.93E+01,0.1173599706,6.72E+00,1.01E+04
,,,2.68E+01,0.0858410522,4.92E+00,1.10E+04
,,,3.51E+01,0.06146548716,3.52E+00,1.20E+04
,,,3.68E+01,0.05921924841,3.39E+00,1.22E+04
,,,3.76E+01,0.05718646343,3.28E+00,1.23E+04
,,,4.83E+01,0.03682889068,2.11E+00,1.36E+04
