t,theta (rad),,t,theta (rad),θ,frame
0.00E+00,0.2226424024,,0.00E+00,0.2226424024,1.28E+01,9.40E+03
7.23E+00,0.1935477638,,7.23E+00,0.1935477638,1.11E+01,1.03E+04
1.75E+01,0.1583390274,,1.75E+01,0.1583390274,9.07E+00,1.15E+04
3.19E+01,0.1171159212,,3.19E+01,0.1171159212,6.71E+00,1.32E+04
4.74E+01,0.08345733387,,4.74E+01,0.08345733387,4.78E+00,1.51E+04
6.37E+01,0.05793967773,,6.37E+01,0.05793967773,3.32E+00,1.71E+04
7.91E+01,0.04205993915,,7.91E+01,0.04205993915,2.41E+00,1.89E+04
9.34E+01,0.03108143418,,9.34E+01,0.03108143418,1.78E+00,2.06E+04
